id;name;birth_date
157;Laini Taylor;2020-07-16
158;Diana Gabaldon;2020-07-15
159;Rodman Philbrick;2020-07-16
160;Kim Stanley Robinson;2020-07-16
161;Jeffrey Eugenides;2020-07-15
162;Peter F. Hamilton;2020-07-16
163;Tim Winton;2020-07-16
164;Laurell K. Hamilton;2020-07-16
165;Frances Mayes;2020-07-15
166;Arthur Golden;2020-07-15
167;James Frey;2020-07-16
168;John Grisham;2020-07-15
169;Kendare Blake;2020-07-16
170;Carl Hiaasen;2020-07-16
171;J.G. Ballard;2020-07-15
172;Jessie Burton;2020-07-16
173;Rick Riordan;2020-07-16
174;Leon Uris;2020-07-16
175;John Grisham;2020-07-15
176;Daniel Keyes;2020-07-15
177;Kaye Gibbons;2020-07-16
178;Mary  Stewart;2020-07-15
179;J.D. Robb;2020-07-16
180;Jeffrey Archer;2020-07-16
181;Ludwig Bemelmans;2020-07-15
182;Melissa Senate;2020-07-16
183;Alice Sebold;2020-07-16
184;Liane Moriarty;2020-07-16
185;Patricia Briggs;2020-07-15
186;Ann Hood;2020-07-15
187;Tedd Arnold;2020-07-16
188;Dean Koontz;2020-07-15
189;Jeaniene Frost;2020-07-16
190;Margaret Leroy;2020-07-16
191;James Lee Burke;2020-07-15
192;Teri Terry;2020-07-16
193;Martin Heidegger;2020-07-16
194;David Baldacci;2020-07-16
195;Michael Crichton;2020-07-15
196;Kevin Henkes;2020-07-15
197;John  Stephens;2020-07-16
198;Robin Hobb;2020-07-15
199;Nelson DeMille;2020-07-16
200;Jeannette Walls;2020-07-16
201;Terry Pratchett;2020-07-15
202;Michel Houellebecq;2020-07-16
203;Clive Barker;2020-07-16
204;Neal Stephenson;2020-07-16
205;Alastair Reynolds;2020-07-15
206;Nora Roberts;2020-07-15
207;Jim Butcher;2020-07-16
208;Neil Strauss;2020-07-15
209;V.C. Andrews;2020-07-16
210;Kent Haruf;2020-07-16
211;David Nicholls;2020-07-15
212;Maria V. Snyder;2020-07-16
213;Ian McEwan;2020-07-16
214;Robert Crais;2020-07-16
215;Mary Higgins Clark;2020-07-15
216;Daniel Silva;2020-07-15
217;L.J. Smith;2020-07-16
218;Jandy Nelson;2020-07-15
219;Scott Anderson;2020-07-16
220;Lauren Beukes;2020-07-16
221;David Baldacci;2020-07-15
222;F. Scott Fitzgerald;2020-07-16
223;Patricia Cornwell;2020-07-16
224;Nicole  Williams;2020-07-16
225;J.D. Robb;2020-07-15
226;Barbara Kingsolver;2020-07-15
227;Craig Ferguson;2020-07-16
228;Michael Crichton;2020-07-15
229;Lisa Kleypas;2020-07-16
230;Patricia Cornwell;2020-07-16
231;Margaret Atwood;2020-07-15
232;Paolo Bacigalupi;2020-07-16
233;Orson Scott Card;2020-07-16
234;R.L. Stine;2020-07-16
235;Michael J. Sullivan;2020-07-15
236;Ursula K. Le Guin;2020-07-15
237;Avi;2020-07-16
238;Edan Lepucki;2020-07-15
239;Madeline Miller;2020-07-16
240;John Sandford;2020-07-16
241;Laura Dave;2020-07-15
242;Abbi Glines;2020-07-16
243;Edgar Allan Poe;2020-07-16
244;Anita Shreve;2020-07-16
245;Kathryn Lasky;2020-07-15
246;Linwood Barclay;2020-07-15
247;Brian Staveley;2020-07-16
248;Scott McCloud;2020-07-15
249;Sherrilyn Kenyon;2020-07-16
250;Nora Roberts;2020-07-16
251;Jennifer Estep;2020-07-15
252;Philip Pullman;2020-07-16
253;Andy Weir;2020-07-16
254;M.L. Stedman;2020-07-16
255;Lauren Kate;2020-07-15
256;Vince Flynn;2020-07-15
257;Vince Flynn;2020-07-16
258;Jonathan Harr;2020-07-15
259;Emma Donoghue;2020-07-16
260;Nevil Shute;2020-07-16
261;Raymond E. Feist;2020-07-15
262;David Eddings;2020-07-16
263;Stephen King;2020-07-16
264;Ted Dekker;2020-07-16
265;Jana Deleon;2020-07-15
266;Francine Rivers;2020-07-15
267;Nora Roberts;2020-07-16
268;Lev Grossman;2020-07-15
269;Sidney Sheldon;2020-07-16
270;Elizabeth Berg;2020-07-16
271;Tess Gerritsen;2020-07-15
272;Jim Butcher;2020-07-16
273;Malcolm Gladwell;2020-07-16
274;William Faulkner;2020-07-16
275;Kady Cross;2020-07-15
276;Steve Berry;2020-07-15
277;James Patterson;2020-07-16
278;Larissa Ione;2020-07-15
279;Dennis Lehane;2020-07-16
280;Kate Mosse;2020-07-16
281;Kristen Ashley;2020-07-15
282;James Patterson;2020-07-16
283;Tahereh Mafi;2020-07-16
284;Meg Rosoff;2020-07-16
285;David McCullough;2020-07-15
286;Kristin Hannah;2020-07-15
287;Suzanne Collins;2020-07-16
288;Julia Quinn;2020-07-15
289;Agatha Christie;2020-07-16
290;James Patterson;2020-07-16
291;Richelle Mead;2020-07-15
292;Brian Lumley;2020-07-16
293;James Patterson;2020-07-16
294;Brian Jacques;2020-07-16
295;Jeffery Deaver;2020-07-15
296;Terry Pratchett;2020-07-15
297;Tom Robbins;2020-07-16
298;Betty Mahmoody;2020-07-15
299;Kathy Reichs;2020-07-16
300;Kiersten White;2020-07-16
301;John Wyndham;2020-07-15
302;Paul O. Zelinsky;2020-07-16
303;Jennifer L. Armentrout;2020-07-16
304;Ruth Wariner;2020-07-16
305;Chris Gardner;2020-07-15
306;Kurt Vonnegut Jr.;2020-07-15
307;Shel Silverstein;2020-07-16
308;Nicholas Sparks;2020-07-15
309;Cassandra Clare;2020-07-16
310;Mitch Albom;2020-07-16
311;Arthur C. Clarke;2020-07-15
312;Michael Scott;2020-07-16
313;Terry Pratchett;2020-07-16
314;Clive Barker;2020-07-16
315;Sylvain Reynard;2020-07-15
316;Sue Grafton;2020-07-15
317;Steven Erikson;2020-07-16
318;J.D. Robb;2020-07-15
319;Karen Cushman;2020-07-16
320;Ravinder Singh;2020-07-16
321;Sophie Kinsella;2020-07-15
322;Tom Rob Smith;2020-07-16
323;Larry Niven;2020-07-16
324;Melissa de la Cruz;2020-07-16
325;Sarah Addison Allen;2020-07-15
326;Robert Crais;2020-07-15
327;Trudi Canavan;2020-07-16
328;George R. Stewart;2020-07-15
329;Julie Anne Peters;2020-07-16
330;Glen Cook;2020-07-16
331;Piers Anthony;2020-07-15
332;Steven Erikson;2020-07-16
333;Cecelia Ahern;2020-07-16
334;Patricia Gaffney;2020-07-16
335;Juliet Marillier;2020-07-15
336;Nora Roberts;2020-07-15
337;Stephen King;2020-07-16
338;Sidney Sheldon;2020-07-15
339;Ben Mikaelsen;2020-07-16
340;Yann Martel;2020-07-16
341;Lauren Kate;2020-07-15
342;Ian McEwan;2020-07-16
343;Cinda Williams Chima;2020-07-16
344;Lauren Blakely;2020-07-16
345;Jodi Picoult;2020-07-15
346;Kristin Hannah;2020-07-15
347;Robert Crais;2020-07-16
348;Sylvia Day;2020-07-15
349;V.C. Andrews;2020-07-16
350;Peter V. Brett;2020-07-16
351;E.L. James;2020-07-15
352;Dean Koontz;2020-07-16
353;John Grisham;2020-07-16
354;Ellen Hopkins;2020-07-16
355;Erin Hunter;2020-07-15
356;D.J. MacHale;2020-07-15
357;Lauren Oliver;2020-07-16
358;Mercedes Lackey;2020-07-15
359;Chetan Bhagat;2020-07-16
360;"Larry Niven; Jerry Pournelle";2020-07-16
361;Ben Hatke;2020-07-15
362;Ha Jin;2020-07-16
363;Sarah J. Maas;2020-07-16
364;Lawrence Hill;2020-07-16
365;Jordan Belfort;2020-07-15
366;Julia Quinn;2020-07-15
367;J.D. Robb;2020-07-16
368;Ernest Hemingway;2020-07-15
369;"Angie Sage; Mark Zug";2020-07-16
370;Catherine Coulter;2020-07-16
371;Brandon Mull;2020-07-15
372;Kathy Reichs;2020-07-16
373;Alice Munro;2020-07-16
374;Tom Clancy;2020-07-16
375;Simone Elkeles;2020-07-15
376;Arthur Nersesian;2020-07-15
377;Naomi Novik;2020-07-16
378;Harlan Coben;2020-07-15
379;Jeffrey Archer;2020-07-16
380;Michael Connelly;2020-07-16
381;Ilsa J. Bick;2020-07-15
382;Brandon Sanderson;2020-07-16
383;Peter Shaffer;2020-07-16
384;Sidney Sheldon;2020-07-16
385;Lois McMaster Bujold;2020-07-15
386;Maya Banks;2020-07-15
387;Michael Connelly;2020-07-16
388;Mary Kay Andrews;2020-07-15
389;Gillian Flynn;2020-07-16
390;Sheila Burnford;2020-07-16
391;Emily Giffin;2020-07-15
392;David Baldacci;2020-07-16
393;Cynthia Bond;2020-07-16
394;Nic Pizzolatto;2020-07-16
395;Nora Roberts;2020-07-15
396;Frank Herbert;2020-07-15
397;J.D. Robb;2020-07-16
398;Courtney Milan;2020-07-15
399;Susan Cooper;2020-07-16
400;Maya Banks;2020-07-16
401;Adam Johnson;2020-07-15
402;Rick Yancey;2020-07-16
403;Dean Koontz;2020-07-16
404;Jennifer Echols;2020-07-16
405;Kiera Cass;2020-07-15
406;James Patterson;2020-07-15
407;Carrie Jones;2020-07-16
408;Richard Branson;2020-07-15
409;Douglas Preston;2020-07-16
410;Pittacus Lore;2020-07-16
411;H. Rider Haggard;2020-07-15
412;Lolly Winston;2020-07-16
413;Scott Westerfeld;2020-07-16
414;Jack Kerouac;2020-07-16
415;Douglas Coupland;2020-07-15
416;James Patterson;2020-07-15
417;T.A. Barron;2020-07-16
418;Lynda Mullaly Hunt;2020-07-15
419;Harlan Coben;2020-07-16
420;Richard Peck;2020-07-16
421;Piers Anthony;2020-07-15
422;Allen Eskens;2020-07-16
423;Jennifer Donnelly;2020-07-16
424;Daniel Silva;2020-07-16
425;T.H. White;2020-07-15
426;Mike Mullin;2020-07-15
427;Peter Shaffer;2020-07-16
428;Isaac Marion;2020-07-15
429;Jodi Picoult;2020-07-16
430;Kim Harrison;2020-07-16
431;Vince Flynn;2020-07-15
432;Jandy Nelson;2020-07-16
433;Terry Pratchett;2020-07-16
434;Jodi Picoult;2020-07-16
435;Paul Auster;2020-07-15
436;Michael  Grant;2020-07-15
437;F. Paul Wilson;2020-07-16
438;Geraldine Brooks;2020-07-15
439;Marissa Meyer;2020-07-16
440;Aprilynne Pike;2020-07-16
441;Joel C. Rosenberg;2020-07-15
442;Lisa Gardner;2020-07-16
443;Emma Straub;2020-07-16
444;Clive Barker;2020-07-16
445;James Patterson;2020-07-15
446;Brian Jacques;2020-07-15
447;Robert Crais;2020-07-16
448;Dean Koontz;2020-07-15
449;Truman Capote;2020-07-16
450;Toni Morrison;2020-07-16
451;Liane Moriarty;2020-07-15
452;Nelson DeMille;2020-07-16
453;Matthew Reilly;2020-07-16
454;Sue Miller;2020-07-16
455;Peter Heller;2020-07-15
456;Robin Hobb;2020-07-15
457;Leslie Marmon Silko;2020-07-16
458;James Rollins;2020-07-15
459;R.A. Salvatore;2020-07-16
460;Kasie West;2020-07-16
461;Meg Cabot;2020-07-15
462;Marie Lu;2020-07-16
463;Richard Ford;2020-07-16
464;Jon J. Muth;2020-07-16
465;Moira Young;2020-07-15
466;Mercer Mayer;2020-07-15
467;Melanie Rawn;2020-07-16
468;Elizabeth George Speare;2020-07-15
469;Ted Dekker;2020-07-16
470;Richard Paul Evans;2020-07-16
471;Anna Todd;2020-07-15
472;Michael Connelly;2020-07-16
473;Christine Feehan;2020-07-16
474;Sarah Ockler;2020-07-16
475;James Patterson;2020-07-15
476;Carl Sagan;2020-07-15
477;Robert Muchamore;2020-07-16
478;Dean Koontz;2020-07-15
479;Barack Obama;2020-07-16
480;Shannon Hale;2020-07-16
481;Lesley Livingston;2020-07-15
482;Holly Black;2020-07-16
483;Jeaniene Frost;2020-07-16
484;Sandra Brown;2020-07-16
485;Debbie Macomber;2020-07-15
486;Hillary Jordan;2020-07-15
487;Clive Barker;2020-07-16
488;"K.R. Dwyer; Dean Koontz";2020-07-15
489;Karen   White;2020-07-16
490;Danielle  Paige;2020-07-16
491;Jean M. Auel;2020-07-15
492;Sara Shepard;2020-07-16
493;Libba Bray;2020-07-16
494;Janet Evanovich;2020-07-16
495;Laline Paull;2020-07-15
496;William Faulkner;2020-07-15
497;Richelle Mead;2020-07-16
498;Joseph Conrad;2020-07-15
499;Erica Jong;2020-07-16
500;Robert Crais;2020-07-16
501;Mary  Stewart;2020-07-15
502;Joe Abercrombie;2020-07-16
503;Tom Clancy;2020-07-16
504;Chelsea Cain;2020-07-16
505;Amanda Hocking;2020-07-15
506;"Roald Dahl; Quentin Blake";2020-07-15
507;Wilbur Smith;2020-07-16
508;Kevin Henkes;2020-07-15
509;Nora Roberts;2020-07-16
510;David Baldacci;2020-07-16
511;J.D. Robb;2020-07-15
512;K.A. Tucker;2020-07-16
513;Elizabeth Scott;2020-07-16
514;Stephen King;2020-07-16
515;Lauren Weisberger;2020-07-15
516;Steve Alten;2020-07-15
517;James Herbert;2020-07-16
518;Marisa de los Santos;2020-07-15
519;Anne McCaffrey;2020-07-16
520;Jane Green;2020-07-16
521;Kristan Higgins;2020-07-15
522;J. Courtney Sullivan;2020-07-16
523;Michael Connelly;2020-07-16
524;Jane Green;2020-07-16
525;Dan Simmons;2020-07-15
526;David Wong;2020-07-15
527;James Lee Burke;2020-07-16
528;Richelle Mead;2020-07-15
529;Alan Brennert;2020-07-16
530;Sarah Dessen;2020-07-16
531;Jonathan Kellerman;2020-07-15
532;Kody Keplinger;2020-07-16
533;Salman Rushdie;2020-07-16
534;Marissa Meyer;2020-07-16
535;Ilona Andrews;2020-07-15
536;Rick Riordan;2020-07-15
537;Tami Hoag;2020-07-16
538;William Gibson;2020-07-15
539;Kristin Hannah;2020-07-16
540;Stephen King;2020-07-16
541;Madeleine Roux;2020-07-15
542;Leon Uris;2020-07-16
543;David Baldacci;2020-07-16
544;Tad Williams;2020-07-16
545;L.J. Smith;2020-07-15
546;Robert Jordan;2020-07-15
547;Judy Blume;2020-07-16
548;Curtis Sittenfeld;2020-07-15
549;Peter H. Reynolds;2020-07-16
550;Patricia Cornwell;2020-07-16
551;Kate Atkinson;2020-07-15
552;Rachel Caine;2020-07-16
553;David McCullough;2020-07-16
554;Louise Penny;2020-07-16
555;Robert Ludlum;2020-07-15
556;Poppy Z. Brite;2020-07-15
557;Jodi Picoult;2020-07-16
558;Gwyn Hyman Rubio;2020-07-15
559;Tamora Pierce;2020-07-16
560;John Verdon;2020-07-16
561;Patti Smith;2020-07-15
562;Richard Russo;2020-07-16
563;Alan Paton;2020-07-16
564;Clive Cussler;2020-07-16
565;Ben Aaronovitch;2020-07-15
566;Gena Showalter;2020-07-15
567;David Benioff;2020-07-16
568;Megan Whalen Turner;2020-07-15
569;Ned Vizzini;2020-07-16
570;Patricia Cornwell;2020-07-16
571;Orson Scott Card;2020-07-15
572;Zane;2020-07-16
573;Kresley Cole;2020-07-16
574;Sister Souljah;2020-07-16
575;Sylvia Plath;2020-07-15
576;Don DeLillo;2020-07-15
577;Julie Garwood;2020-07-16
578;Tamora Pierce;2020-07-15
579;Tom Clancy;2020-07-16
580;Cherie Priest;2020-07-16
581;James Patterson;2020-07-15
582;"James Patterson; Ned Rust";2020-07-16
583;Stephen Hunter;2020-07-16
584;Jeffrey Archer;2020-07-16
585;Gigi Levangie Grazer;2020-07-15
586;Rory Stewart;2020-07-15
587;Jean Kwok;2020-07-16
588;Christine Feehan;2020-07-15
589;David Eddings;2020-07-16
590;Iain M. Banks;2020-07-16
591;Clive Cussler;2020-07-15
592;Michael Connelly;2020-07-16
593;Michael Connelly;2020-07-16
594;Jessica Day George;2020-07-16
595;Stephenie Meyer;2020-07-15
596;Jennifer Estep;2020-07-15
597;MaryJanice Davidson;2020-07-16
598;J.L. Bourne;2020-07-15
599;Frederik Pohl;2020-07-16
600;David Eddings;2020-07-16
601;Jenny Han;2020-07-15
602;Marie Lu;2020-07-16
603;"Grant Morrison; Frank Quitely";2020-07-16
604;Monica Ali;2020-07-16
605;Julia Quinn;2020-07-15
606;"Amie Kaufman; Jay Kristoff";2020-07-15
607;Jeff Kinney;2020-07-16
608;"Anne Rampling; Anne Rice";2020-07-15
609;Peter Clines;2020-07-16
610;Karen Kingsbury;2020-07-16
611;David Almond;2020-07-15
612;Edward Gorey;2020-07-16
613;Carl Hiaasen;2020-07-16
614;Jaycee Dugard;2020-07-16
615;Tony Parsons;2020-07-15
616;Shel Silverstein;2020-07-15
617;Kiera Cass;2020-07-16
618;William Golding;2020-07-15
619;M.O. Walsh;2020-07-16
620;Terry Pratchett;2020-07-16
621;Diana Wynne Jones;2020-07-15
622;Elin Hilderbrand;2020-07-16
623;Sophie Kinsella;2020-07-16
624;Lauren DeStefano;2020-07-16
625;Christopher Isherwood;2020-07-15
626;Maggie Stiefvater;2020-07-15
627;"Margaret Weis; Tracy Hickman";2020-07-16
628;Kristin Hannah;2020-07-15
629;John Sandford;2020-07-16
630;Kate Mosse;2020-07-16
631;Kristen Ashley;2020-07-15
632;Agatha Christie;2020-07-16
633;Maggie Stiefvater;2020-07-16
634;Patricia Briggs;2020-07-16
635;Jim Butcher;2020-07-15
636;John Sandford;2020-07-15
637;Jodi Picoult;2020-07-16
638;Ann-Marie MacDonald;2020-07-15
639;Jennifer Weiner;2020-07-16
640;Eric Carle;2020-07-16
641;Clive Barker;2020-07-15
642;Amanda Hocking;2020-07-16
643;Jessica Sorensen;2020-07-16
644;Susan Vreeland;2020-07-16
645;Miranda Kenneally;2020-07-15
646;Ai Yazawa;2020-07-15
647;Linda Howard;2020-07-16
648;Frank Herbert;2020-07-15
649;Richard Castle;2020-07-16
650;Jennifer Weiner;2020-07-16
651;Robert A. Heinlein;2020-07-15
652;Jennifer L. Armentrout;2020-07-16
653;James  Jones;2020-07-16
654;Jill Mansell;2020-07-16
655;V.C. Andrews;2020-07-15
656;Richelle Mead;2020-07-15
657;Thrity Umrigar;2020-07-16
658;Charles Belfoure;2020-07-15
659;Dave Eggers;2020-07-16
660;Rachel Caine;2020-07-16
661;Michael Morpurgo;2020-07-15
662;J.R. Ward;2020-07-16
663;John Sandford;2020-07-16
664;George R.R. Martin;2020-07-16
665;Terry Pratchett;2020-07-15
666;Emma Donoghue;2020-07-15
667;Rachel Hawkins;2020-07-16
668;Susanna Kearsley;2020-07-15
669;Karin Slaughter;2020-07-16
670;P.D. Eastman;2020-07-16
671;Louise Erdrich;2020-07-15
672;Sherrilyn Kenyon;2020-07-16
673;Gregory David Roberts;2020-07-16
674;Lynn Flewelling;2020-07-16
675;Frederick Forsyth;2020-07-15
676;Harry Harrison;2020-07-15
677;John Irving;2020-07-16
678;Ruth Ware;2020-07-15
679;Richard Russo;2020-07-16
680;Francine Rivers;2020-07-16
681;Betty  Smith;2020-07-15
682;Nicole Krauss;2020-07-16
683;Beverly Cleary;2020-07-16
684;Christopher Moore;2020-07-16
685;Anthony Horowitz;2020-07-15
686;Angela Flournoy;2020-07-15
687;D.J. MacHale;2020-07-16
688;Mhairi McFarlane;2020-07-15
689;Jim Butcher;2020-07-16
690;Neal Stephenson;2020-07-16
691;Sarah Dessen;2020-07-15
692;Patricia Cornwell;2020-07-16
693;D.J. MacHale;2020-07-16
694;Rick Riordan;2020-07-16
695;Art Spiegelman;2020-07-15
696;Meg Cabot;2020-07-15
697;Nora Roberts;2020-07-16
698;Marian Keyes;2020-07-15
699;John L. Parker Jr.;2020-07-16
700;Beth Revis;2020-07-16
701;Sarah Pinborough;2020-07-15
702;Marjorie Kinnan Rawlings;2020-07-16
703;Meg Cabot;2020-07-16
704;Sherrilyn Kenyon;2020-07-16
705;Donald McCaig;2020-07-15
706;Anthony Horowitz;2020-07-15
707;Sue Grafton;2020-07-16
708;Alex   Sanchez;2020-07-15
709;James Redfield;2020-07-16
710;Scott Turow;2020-07-16
711;Erik Larson;2020-07-15
712;Adriana Trigiani;2020-07-16
713;Hanya Yanagihara;2020-07-16
714;Kelly Corrigan;2020-07-16
715;John Sandford;2020-07-15
716;Simone Elkeles;2020-07-15
717;Lloyd Alexander;2020-07-16
718;Lily Koppel;2020-07-15
719;Janette Oke;2020-07-16
720;David Farland;2020-07-16
721;"Gregory Maguire; Douglas Smith";2020-07-15
722;Sidney Sheldon;2020-07-16
723;Don DeLillo;2020-07-16
724;Victoria Schwab;2020-07-16
725;Tad Williams;2020-07-15
726;John Green;2020-07-15
727;Colleen Houck;2020-07-16
728;Iain Banks;2020-07-15
729;David Baldacci;2020-07-16
730;Karin Slaughter;2020-07-16
731;Morgan Matson;2020-07-15
732;Lois McMaster Bujold;2020-07-16
733;Danielle Trussoni;2020-07-16
734;Gail Carriger;2020-07-16
735;Umberto Eco;2020-07-15
736;Ian Fleming;2020-07-15
737;Jeaniene Frost;2020-07-16
738;Charles Stross;2020-07-15
739;Terry McMillan;2020-07-16
740;Stephen Crane;2020-07-16
741;Patricia Briggs;2020-07-15
742;David Baldacci;2020-07-16
743;Marian Keyes;2020-07-16
744;Paula Brackston;2020-07-16
745;Ann Patchett;2020-07-15
746;Janet Evanovich;2020-07-15
747;Tom Wolfe;2020-07-16
748;Roddy Doyle;2020-07-15
749;Helen Fielding;2020-07-16
750;Robin Oliveira;2020-07-16
751;David Foster Wallace;2020-07-15
752;John Scalzi;2020-07-16
753;Robert Lynn Asprin;2020-07-16
754;Virginia Woolf;2020-07-16
755;Alexandra Adornetto;2020-07-15
756;Jim Butcher;2020-07-15
757;L.J. Smith;2020-07-16
758;David Shannon;2020-07-15
759;Christina Lauren;2020-07-16
760;Charlaine Harris;2020-07-16
761;Naomi Novik;2020-07-15
762;Brunonia Barry;2020-07-16
763;H.A. Rey;2020-07-16
764;Nora Roberts;2020-07-16
765;Jill Alexander Essbaum;2020-07-15
766;Keri Hulme;2020-07-15
767;William Faulkner;2020-07-16
768;Carl Hiaasen;2020-07-15
769;Arnold Lobel;2020-07-16
770;Scott Westerfeld;2020-07-16
771;Robin Hobb;2020-07-15
772;Kim Harrison;2020-07-16
773;Mary Doria Russell;2020-07-16
774;David Baldacci;2020-07-16
775;Chaim Potok;2020-07-15
776;Larry McMurtry;2020-07-15
777;Dietrich Bonhoeffer;2020-07-16
778;Ami McKay;2020-07-15
779;Ian Fleming;2020-07-16
780;Gary D. Schmidt;2020-07-16
781;Michael Ondaatje;2020-07-15
782;James Patterson;2020-07-16
783;Louise L. Hay;2020-07-16
784;Tom Robbins;2020-07-16
785;Lisa Tawn Bergren;2020-07-15
786;Terry Brooks;2020-07-15
787;Alyson Richman;2020-07-16
788;Susan Cooper;2020-07-15
