id;title;description;publication_date;price
71;Legend ;Tor Science Fiction;2020-07-15;426
72;The Thief;Ace Books;2020-07-16;471
73;Welcome to Temptation;Houghton Mifflin Harcourt;2020-07-16;192
74;The Gods Themselves;Ballantine Books;2020-07-16;544
75;Bullet;Delacorte Books for Young Readers;2020-07-15;291
76;A Dog's Purpose ;Thomas Nelson;2020-07-15;256
77;The Devil You Know;Wiley;2020-07-16;205
78;number9dream;Heinemann Drama;2020-07-15;240
79;A Week to Be Wicked;William Morrow Paperbacks;2020-07-16;336
80;A Place Called Here;Wiley;2020-07-16;386
81;Master and Commander;McGraw-Hill;2020-07-15;260
82;The Six Wives of Henry VIII;Wiley;2020-07-16;384
83;Industrial Magic;Wiley;2020-07-16;260
84;The Will of the Empress;Wiley;2020-07-16;391
85;Violets Are Blue;Wiley;2020-07-15;864
86;Men at Arms;O'Reilly Media;2020-07-15;873
87;The Power of One;Citadel;2020-07-16;240
88;A Discovery of Witches;Citadel;2020-07-15;206
89;Free Will;O'Reilly Media;2020-07-16;514
90;Faithless;Penguin Classics;2020-07-16;838
91;Three Wishes;Signet;2020-07-15;960
92;Fatherland;Penguin Books;2020-07-16;837
93;Never Love a Highlander;Cliffs Notes;2020-07-16;80
94;Altered;Barnes & Noble Classics;2020-07-16;803
95;Fractured;Dover Publications;2020-07-15;752
96;The Charlemagne Pursuit;Barnes & Noble;2020-07-15;803
97;I'll Be Seeing You;Mira Books;2020-07-16;360
98;Wench;Cambridge University Press;2020-07-15;128
99;Red Mars;Penguin Books;2020-07-16;160
100;The 100;Vintage;2020-07-16;367
101;The Mark of Athena;Buccaneer Books;2020-07-15;256
102;Her Fearful Symmetry;Scribner;2020-07-16;320
103;Vicious;Clarity Press;2020-07-16;100
104;Bad Girls Don't Die;Rowman & Littlefield Publishers;2020-07-16;224
105;Pebble in the Sky;Pearson;2020-07-15;216
106;Safe Harbour;Teacher Created Resources;2020-07-15;48
107;Lincoln;Harper Perennial;2020-07-16;360
108;The Titan's Curse;EMC/Paradigm Publishing;2020-07-15;250
109;Tropic of Capricorn;Teaching Resources;2020-07-16;32
110;The Bluest Eye;Turtleback Books;2020-07-16;205
111;Wife 22;Little  Brown Book Group;2020-07-15;367
112;Frog and Toad Together;William Morrow;2020-07-16;352
113;The Lacuna;Atria Books;2020-07-16;320
114;Slapstick;Tor Books;2020-07-16;331
115;Fearless Fourteen;Vintage Crime/Black Lizard;2020-07-15;244
116;A Christmas Carol;Vintage Crime/Black Lizard;2020-07-15;215
117;Straight Talking;Vintage Crime/Black Lizard;2020-07-16;191
118;Never Let Me Go;Vintage;2020-07-15;144
119;Ice Station Zebra;Picador USA;2020-07-16;738
120;The Edible Woman;Sterling;2020-07-16;48
121;The English Assassin;Puffin;2020-07-15;287
122;Born of the Night;New Directions Publishing;2020-07-16;217
123;Two Ravens and One Crow;Grove Press;2020-07-16;154
124;Nicholas and Alexandra;Grove Press;2020-07-16;318
125;A Grief Observed;Grove Press;2020-07-15;348
126;"Right Ho; Jeeves";Grove Press;2020-07-15;316
127;Mr. Perfect;Grove Press;2020-07-16;506
128;Moonrise;New Directions;2020-07-15;292
129;Moon Over Manifest;Penguin Classics;2020-07-16;797
130;MaddAddam;Barnes  Noble Classics;2020-07-16;635
131;The Good Guy;Brookline Books;2020-07-15;91
132;Shoe Addicts Anonymous ;The New Press;2020-07-16;192
133;The Gift;Pantheon;2020-07-16;181
134;Winter's Bone;One World (UK);2020-07-16;178
135;A Death in the Family;Interlink Publishing Group;2020-07-15;464
136;The Firm;Penguin Books;2020-07-15;102
137;Antigone;Knopf;2020-07-16;216
138;Spook Country;Citadel;2020-07-15;132
139;Esio Trot;Knopf;2020-07-16;100
140;The Lady Elizabeth;Kingfisher;2020-07-16;311
141;One Crazy Summer;Sterling Children's Books;2020-07-15;213
142;Teardrop;Simon & Schuster;2020-07-16;245
143;Fahrenheit 451;Atheneum Books for Young Readers;2020-07-16;64
144;Independent Study;Gramercy Books;2020-07-16;272
145;Tell Me Three Things;Abdo Publishing Company;2020-07-15;232
146;The Brutal Telling;Black Classic Press;2020-07-15;270
147;Wyrd Sisters;French & European;2020-07-16;448
148;Little Earthquakes;Random House Books for Young Readers;2020-07-15;64
149;The City of Ember;Zebra;2020-07-16;256
150;A Gate at the Stairs;Greenwillow Books;2020-07-16;147
151;The Ugly Truth;Booket;2020-07-15;239
152;Beauty from Pain;Del Rey;2020-07-16;304
153;Code to Zero;Ace;2020-07-16;528
154;The Twentieth Wife;Ace Books;2020-07-16;434
155;The Big Nowhere;Del Rey;2020-07-15;439
156;Beautiful You;Tor Books;2020-07-15;256
157;Dreams of Gods & Monsters;Pocket Books;2020-07-16;307
158;Dragonfly in Amber;Del Rey;2020-07-15;298
159;Freak the Mighty;Del Rey;2020-07-16;368
160;Blue Mars ;Ballantine Books;2020-07-16;256
161;The Virgin Suicides;Turtleback Books;2020-07-15;336
162;Pandora's Star;Samuel French  Inc.;2020-07-16;72
163;Cloudstreet;Princeton University Press;2020-07-16;67
164;The Lunatic Cafe;W. W. Norton & Company;2020-07-16;347
165;Under the Tuscan Sun;Simon & Schuster;2020-07-15;317
166;Memoirs of a Geisha;HMH Books for Young Readers;2020-07-15;32
167;My Friend Leonard;Scribner;2020-07-16;827
168;Calico Joe;Penguin;2020-07-15;480
169;Girl of Nightmares;Penguin Books;2020-07-16;377
170;Bad Monkey;Vintage Contemporaries;2020-07-16;256
171;High-Rise;Scribner;2020-07-15;224
172;The Miniaturist;Penguin Books;2020-07-16;272
173;The Last Olympian;Vintage;2020-07-16;339
174;Trinity: A Novel of Ireland;Penguin Press;2020-07-16;1085
175;Ford County;Harper Perennial Modern Classics;2020-07-15;547
176;Flowers for Algernon;Harper Perennial;2020-07-15;152
177;Ellen Foster;Penguin Books;2020-07-16;784
178;The Hollow Hills;Picador USA;2020-07-15;773
179;Fantasy In Death;Penguin Classics;2020-07-16;385
180;First Among Equals;Penguin Books;2020-07-16;776
181;Madeline's Rescue;Back Bay Books;2020-07-15;193
182;See Jane Date;Penguin Classics;2020-07-16;352
183;The Almost Moon;Knopf Publishing Group;2020-07-16;227
184;Truly Madly Guilty;Farrar Straus Giroux;2020-07-16;222
185;Dead Heat;Vintage International;2020-07-15;272
186;The Obituary Writer;Vintage;2020-07-15;240
187;Parts;Farrar Straus Giroux;2020-07-16;238
188;The Face;Vintage International;2020-07-15;234
189;At Grave's End;Everyman's Library;2020-07-16;1122
190;The Collaborator;Farrar  Straus and Giroux;2020-07-16;231
191;The neon rain;Penguin Classics;2020-07-15;308
192;Slated;Penguin Books;2020-07-16;203
193;Sein und Zeit;Penguin Books;2020-07-16;96
194;Saving Faith;Sun and Moon Press;2020-07-16;179
195;Jurassic Park;Sky Books (NY);2020-07-15;256
196;Chrysanthemum;Picador;2020-07-15;306
197;The Emerald Atlas;Penguin Books;2020-07-16;320
198;Dragon Haven;Penguin Books;2020-07-15;217
199;The Charm School;Henry Holt & Company;2020-07-16;145
200;The Glass Castle;Penguin Books;2020-07-16;275
201;Hogfather;New Directions;2020-07-15;104
202;Plateforme;Actes Sud;2020-07-16;1075
203;The Hellbound Heart;Penguin Books Ltd. (London);2020-07-16;608
204;Zodiac;Business Plus;2020-07-16;211
205;Redemption Ark;Cambridge University Press;2020-07-15;262
206;Montana Sky;Simon  Schuster;2020-07-15;544
207;Skin Game;Ballantine Books;2020-07-16;272
208;The Game;W. W. Norton  Company;2020-07-15;576
209;Dawn ;Filiquarian Publishing  LLC.;2020-07-16;88
210;Our Souls at Night;Citadel;2020-07-16;542
211;One Day;Lerner Publications;2020-07-15;144
212;Fire Study;Adventures Unlimited Press;2020-07-16;100
213;The Children Act;Harlequin Blaze;2020-07-16;249
214;The First Rule;Pragmatic Bookshelf;2020-07-16;828
215;Remember Me ;Cliffs Notes;2020-07-15;112
216;The Heist;Listening Library (Audio);2020-07-15;6
217;The Struggle;Random House;2020-07-16;397
218;The Sky Is Everywhere;HarperCollins Publishers;2020-07-15;216
219;Lawrence in Arabia;Picador;2020-07-16;328
220;Broken Monsters;Large Print Press;2020-07-16;532
221;The Sixth Man;Ballantine Books;2020-07-15;224
222;Tender Is the Night;Peachpit Press;2020-07-16;296
223;Port Mortuary;Peachpit Press;2020-07-16;456
224;Crush;Taschen;2020-07-16;575
225;Thankless in Death ;Scribner;2020-07-15;245
226;The Poisonwood Bible;Scribner;2020-07-15;272
227;American on Purpose;Bantam;2020-07-16;419
228;Pirate Latitudes;HarperTorch;2020-07-15;540
229;Again the Magic ;Walker & Company;2020-07-16;32
230;The Bone Bed;William Morrow Paperbacks;2020-07-16;408
231;Stone Mattress;Haynes Manuals N. America  Inc.;2020-07-15;222
232;Ship Breaker;Rockport Publishers;2020-07-16;191
233;Enchantment;Signet Classics;2020-07-16;304
234;Night of the Living Dummy;Oxford University Press;2020-07-16;1392
235;The Crown Tower;Dover Publications;2020-07-15;352
236;The Lathe of Heaven;Plume;2020-07-15;1168
237;Crispin: The Cross of Lead;Signet Book;2020-07-16;224
238;California;Dutton;2020-07-15;752
239;The Song of Achilles;Signet;2020-07-16;176
240;Dark of the Moon;NAL;2020-07-16;105
241;Eight Hundred Grapes;Signet;2020-07-15;464
242;Bad for You;Signet;2020-07-16;340
243;The Black Cat;NAL;2020-07-16;681
244;A Wedding in December;For Dummies;2020-07-16;416
245;The Capture;Delacorte Press;2020-07-15;368
246;The Accident;Random House Trade Paperbacks;2020-07-15;192
247;The Providence of Fire;Lyons Press;2020-07-16;286
248;The Sculptor;Alliance Publishing;2020-07-15;571
249;Dream Chaser;Farrar Straus Giroux;2020-07-16;231
250;Finding the Dream;Alfred A. Knopf;2020-07-16;277
251;Web of Lies;Bedford Books;2020-07-15;826
252;The Ruby in the Smoke;Oxford University Press  USA;2020-07-16;528
253;The Martian;Vintage International;2020-07-16;391
254;The Light Between Oceans;Dey Street Books;2020-07-16;164
255;Fallen in Love;Harper Perennial Modern Classics;2020-07-15;352
256;Pursuit of Honor;Vintage Espanol;2020-07-15;118
257;American Assassin;Plaza y Janes;2020-07-16;496
258;A Civil Action;Plaza y Janes;2020-07-15;176
259;Frog Music;Vintage;2020-07-16;533
260;On the Beach;Vintage Espanol;2020-07-16;112
261;Magician;Vintage Books USA;2020-07-15;425
262;The Shining Ones;Wisdom Publications;2020-07-16;288
263;Skeleton Crew;Rough Guides;2020-07-16;363
264;Skin;Lonely Planet;2020-07-16;128
265;Trouble in Mudbug;Geoplaneta;2020-07-15;480
266;Her Daughter's Dream;Lonely Planet;2020-07-15;295
267;Chasing Fire;Mariner Books;2020-07-16;287
268;The Magicians;Avon;2020-07-15;1139
269;"Morning; Noon & Night";Payot;2020-07-16;418
270;Open House;William Morrow Paperbacks;2020-07-16;815
271;Last to Die;HarperCollins Perennial;2020-07-15;927
272;Summer Knight;Spectra Books;2020-07-16;448
273;David and Goliath;William Morrow Paperbacks;2020-07-16;308
274;As I Lay Dying;Spectra;2020-07-16;499
275;The Girl in the Steel Corset;Spectra;2020-07-15;640
276;The Romanov Prophecy;HarperTorch;2020-07-15;464
277;Max ;Bantam Books;2020-07-16;438
278;Sin Undone;Two Plus Two Publishing LLC;2020-07-15;450
279;Moonlight Mile ;Two Plus Two Publishing LLC;2020-07-16;381
280;Sepulchre;Basic Books;2020-07-16;240
281;Rock Chick Rescue;Basic Books;2020-07-15;272
282;Jack & Jill;Basic Books;2020-07-16;257
283;Fracture Me;Ignatius Press;2020-07-16;259
284;How I Live Now;HarperOne;2020-07-16;192
285;John Adams;HarperCollins;2020-07-15;197
286;Firefly Lane;VIZ Media LLC;2020-07-15;192
287;Mockingjay;VIZ Media LLC;2020-07-16;192
288;An Offer From a Gentleman;VIZ Media LLC;2020-07-15;192
289;Elephants Can Remember;VIZ Media LLC;2020-07-16;192
290;Angel;VIZ Media LLC;2020-07-16;200
291;Succubus Blues;HarperCollins Publishers;2020-07-15;198
292;Necroscope ;VIZ Media LLC;2020-07-16;192
293;Cross Country;Random House Trade Paperbacks;2020-07-16;274
294;The Pearls of Lutra;Borgo Press;2020-07-16;360
295;The Broken Window;Penguin Books;2020-07-15;103
296;The Truth;It Books;2020-07-15;464
297;Villa Incognito;Puffin;2020-07-16;182
298;Not Without My Daughter;Turtleback Books;2020-07-15;215
299;Flash and Bones;Vintage Books USA;2020-07-16;503
300;Endlessly;Random House Large Print Publishing;2020-07-16;434
301;The Chrysalids;Vintage;2020-07-15;497
302;Rumpelstilzchen;Newmarket Press;2020-07-16;144
303;Obsidian;Vintage;2020-07-16;497
304;The Sound of Gravel;Pocket Books;2020-07-16;334
305;The Pursuit of Happyness;Oni Press;2020-07-15;58
306;Jailbird;Cambridge University Press;2020-07-15;95
307;Falling Up;Moody Publishers;2020-07-16;0
308;A Walk to Remember;Pocket Books;2020-07-15;736
309;Clockwork Prince;Umbriel;2020-07-16;508
310;The Time Keeper;FonoLibro;2020-07-16;18
311;Childhood's End;Anchor;2020-07-15;489
312;The Sorceress;Broadway Books;2020-07-16;467
313;Guards! Guards!;Pocket;2020-07-16;744
314;The Great and Secret Show;Pocket Books;2020-07-16;736
315;Gabriel's Inferno;Corgi Books;2020-07-15;585
316;E Is for Evidence;Bantam Press;2020-07-15;448
317;Memories of Ice;Pinnacle;2020-07-16;383
318;Calculated in Death;Gallery Books;2020-07-15;258
319;"Catherine; Called Birdy";Tarcherperigee;2020-07-16;320
320;Can Love Happen Twice?;High Roads Media;2020-07-16;368
321;Twenties Girl;Pragmatic Bookshelf;2020-07-15;256
322;The Secret Speech;Firebrand Books;2020-07-16;288
323;The Ringworld Engineers ;Ballantine Books;2020-07-16;384
324;Bloody Valentine;Berkley Books;2020-07-16;194
325;Garden Spells;Recorded Books  Inc.;2020-07-15;4
326;Chasing Darkness;Broadway Books;2020-07-15;480
327;The Magician's Apprentice;Simon  Schuster;2020-07-16;386
328;Earth Abides;Penguin Books;2020-07-15;192
329;Keeping You a Secret;University of Chicago Press;2020-07-16;284
330;The White Rose;Howard Publishing Co;2020-07-16;418
331;A Spell for Chameleon;Zondervan;2020-07-15;5
332;Midnight Tides;Harper Perennial;2020-07-16;399
333;"PS; I Love You";Penguin Books;2020-07-16;384
334;The Saving Graces;Random House;2020-07-16;269
335;Daughter of the Forest;Delta;2020-07-15;422
336;Sea Swept;Vintage;2020-07-15;1344
337;The Shining;Ballantine Books;2020-07-16;320
338;Bloodline;HarperCollins Publishers  Inc.;2020-07-15;201
339;Touching Spirit Bear;Rodale Books;2020-07-16;288
340;Life of Pi;High Point Media;2020-07-16;405
341;Torment;John Wiley & Sons;2020-07-15;245
342;Nutshell;Wiley;2020-07-16;432
343;The Wizard Heir;B Books;2020-07-16;368
344;Big Rock;Random House Books for Young Readers;2020-07-16;68
345;Mercy;Red Dress Ink;2020-07-15;392
346;True Colors;Penguin Books;2020-07-15;256
347;L.A. Requiem;Walker & Company;2020-07-16;214
348;Seven Years to Sin;Ryland Peters & Small;2020-07-15;64
349;If There Be Thorns;Clarkson Potter;2020-07-16;256
350;The Desert Spear;Clarkson Potter;2020-07-16;256
351;Grey;Clarkson Potter;2020-07-15;240
352;Brother Odd;Clarkson Potter;2020-07-16;256
353;The Firm;Clarkson Potter Publishers;2020-07-16;304
354;Tricks;Clarkson Potter Publishers;2020-07-16;287
355;Into the Wild;William Morrow;2020-07-15;320
356;The Never War;Ediciones B;2020-07-15;250
357;Delirium;Harper;2020-07-16;496
358;Magic's Price;Putnam Publishing Group;2020-07-15;338
359;Two States;Mariner Books / Harvest Books;2020-07-16;401
360;Footfall;Gallimard;2020-07-16;448
361;Zita the Spacegirl;Penguin Books;2020-07-15;400
362;Waiting;Anchor Books;2020-07-16;515
363;Throne of Glass;Lulu.com;2020-07-16;256
364;The Book of Negroes;William Morrow Paperbacks;2020-07-16;191
365;The Wolf of Wall Street;Jossey-Bass;2020-07-15;458
366;It's In His Kiss;Business Plus;2020-07-15;193
367;Portrait in Death;Prentice Hall;2020-07-16;542
368;Islands in the Stream;Little  Brown;2020-07-15;397
369;Darke;Harper Paperbacks;2020-07-16;368
370;The Cove;Harper;2020-07-16;368
371;Fablehaven;HarperAudio;2020-07-15;2
372;Break No Bones;Prentice Hall Press;2020-07-16;320
373;Too Much Happiness;Bantam;2020-07-16;512
374;Without Remorse;Crown Publishing Group;2020-07-16;468
375;Wild Cards;W. W. Norton  Company;2020-07-15;317
376;The Fuck-Up;BradyGames;2020-07-15;112
377;Throne of Jade;Penguin (Business);2020-07-16;452
378;One False Move;Bantam;2020-07-15;392
379;A Matter of Honor;Spectra Books;2020-07-16;414
380;Trunk Music;Tor Classics;2020-07-16;721
381;Monsters;Doubleday Books;2020-07-15;354
382;Calamity;Bantam;2020-07-16;448
383;Amadeus;Bantam;2020-07-16;400
384;The Sky is Falling;Warner Books;2020-07-16;168
385;A Civil Campaign;Continuum;2020-07-15;176
386;Rush;Stackpole Books;2020-07-15;340
387;The Brass Verdict;Penguin Classics;2020-07-16;160
388;Ladies' Night ;Oxford University Press  USA;2020-07-15;128
389;Sharp Objects;Penguin Classics;2020-07-16;176
390;The Incredible Journey;Prometheus Books;2020-07-16;157
391;Where We Belong;St. Augustines Press;2020-07-15;125
392;The Guilty;Hackett Publishing Company  Inc.;2020-07-16;272
393;Ruby;Cornell University Press;2020-07-16;233
394;Galveston;Hackett Publishing Company  Inc.;2020-07-16;128
395;The Pagan Stone;Penguin Classics;2020-07-15;208
396;God Emperor of Dune;Penguin Books;2020-07-15;716
397;Seduction in Death;Penguin Classics;2020-07-16;622
398;The Duchess War;Prometheus Books;2020-07-15;613
399;"Over Sea; Under Stone";Oxford University Press;2020-07-16;772
400;Burn;Penguin Classics;2020-07-16;653
401;The Orphan Master's Son;W.W. Norton & Company;2020-07-15;464
402;The Last Star;Everyman's Library 234;2020-07-16;816
403;Intensity;University of Chicago Press;2020-07-16;710
404;Going Too Far;Penguin Classics;2020-07-16;683
405;The Guard;Hackett Publishing Company  Inc.;2020-07-15;574
406;"Alex Cross; Run";Farrar  Straus and Giroux;2020-07-15;588
407;Need;Penguin Classics;2020-07-16;1556
408;"Screw It; Let's Do It";Penguin Classics;2020-07-15;462
409;The Codex;Signet Classics;2020-07-16;312
410;The Revenge of Seven;Hackett Publishing Company  Inc.;2020-07-16;216
411;King Solomon's Mines;Penguin Classics;2020-07-15;541
412;Good Grief;Farrar  Straus and Giroux;2020-07-16;515
413;Extras;Harper Perennial;2020-07-16;374
414;The Dharma Bums;Penguin Classics;2020-07-16;324
415;Life after God;Signet Classics;2020-07-15;304
416;London Bridges;Bolchazy-Carducci Publishers;2020-07-15;161
417;The Lost Years of Merlin;Harvard University Press;2020-07-16;607
418;Fish In A Tree;Atelos Press;2020-07-15;136
419;Darkest Fear;Oxford University Press;2020-07-16;180
420;A Long Way From Chicago;Harvard Common Press;2020-07-16;272
421;Bearing an Hourglass;Viking;2020-07-15;1808
422;The Life We Bury;Gramercy;2020-07-16;1248
423;The Winter Rose;Cambridge University Press;2020-07-16;289
424;Moscow Rules;Applause Books;2020-07-16;137
425;The Once and Future King;HarperOne;2020-07-15;272
426;Ashfall;HarperOne;2020-07-15;212
427;Equus : a play;HarperOne;2020-07-16;142
428;Warm Bodies;HarperOne;2020-07-15;336
429;Harvesting the Heart;HarperOne;2020-07-16;208
430;Pale Demon;HarperOne;2020-07-16;256
431;Consent to Kill;Harper Perennial;2020-07-15;210
432;I'll Give You the Sun;Penguin Books;2020-07-16;148
433;Reaper Man;Cliffs Notes;2020-07-16;129
434;Sing You Home;Cliffs Notes;2020-07-16;240
435;The Brooklyn Follies;Nonpareil Books;2020-07-15;450
436;Plague;Harvard University Press;2020-07-15;496
437;The Keep ;Hackett Publishing Company  Inc.;2020-07-16;172
438;People of the Book;Harvard University Press;2020-07-15;400
439;Fairest;Hackett Publishing Company  Inc.;2020-07-16;530
440;Spells;W. W. Norton & Company;2020-07-16;554
441;The Auschwitz Escape;Harvard University Press;2020-07-15;480
442;The Survivors Club;Bryn Mawr Commentaries;2020-07-16;34
443;The Vacationers;University of Chicago Press;2020-07-16;221
444;Imajica;University of Chicago Press;2020-07-16;228
445;Pop Goes the Weasel;University of Chicago Press;2020-07-15;307
446;Lord Brocktree;New York Review of Books;2020-07-15;312
447;Suspect;Bantam Classics;2020-07-16;432
448;Whispers;University of Chicago Press;2020-07-15;255
449;In Cold Blood;University of Chicago Press;2020-07-16;264
450;Tar Baby;Penguin Books;2020-07-16;206
451;What Alice Forgot;Loeb Classical Library;2020-07-15;432
452;Wild Fire;Cambridge University Press;2020-07-16;431
453;Area 7;Penguin Classics;2020-07-16;360
454;While I Was Gone;Oxford University Press  USA;2020-07-16;160
455;The Painter;Bloomsbury Methuen Drama;2020-07-15;192
456;Fool's Quest;Dover Publications;2020-07-15;64
457;Ceremony;W. W. Norton  Company;2020-07-16;128
458;Black Order;Oxford University Press;2020-07-15;282
459;Siege of Darkness;Loeb Classical Library;2020-07-16;528
460;On the Fence;Oxford University Press  USA;2020-07-16;142
461;Princess in the Spotlight;Loeb Classical Library;2020-07-15;464
462;Champion;Oxford University Press  USA;2020-07-16;116
463;Canada;Bristol Classical Press;2020-07-16;160
464;Stone Soup;Cliffs Notes;2020-07-16;69
465;Rebel Heart;Loeb Classical Library;2020-07-15;528
466;I Was So Mad (Look-Look);Loeb Classical Library;2020-07-15;605
467;Dragon Prince;Bristol Classical Press;2020-07-16;144
468;The Bronze Bow;University of Chicago Press;2020-07-15;672
469;Red;University of Chicago Press;2020-07-16;171
470;Miles to Go;University of Chicago Press;2020-07-16;188
471;After We Fell;Oxford University Press  USA;2020-07-15;304
472;City of Bones;Penguin Classics;2020-07-16;335
473;Dark Prince;Hackett Publishing Company  Inc.;2020-07-16;224
474;Twenty Boy Summer;Penguin Books;2020-07-16;160
475;Nevermore;Farrar  Straus and Giroux;2020-07-15;208
476;Contact;University of Pennsylvania Press;2020-07-15;178
477;Class A (Cherub #2);University of Chicago Press;2020-07-16;358
478;The Taking;Cambridge University Press;2020-07-15;95
479;Dreams from My Father;Everyman's Library;2020-07-16;127
480;Austenland;University of Pennsylvania Press;2020-07-16;232
481;Wondrous Strange;Dover Publications;2020-07-15;151
482;White Cat;Kessinger Publishing;2020-07-16;208
483;First Drop of Crimson;University of Chicago Press;2020-07-16;254
484;Ricochet;46;2020-07-16;21
485;Back on Blossom Street;New American Library;2020-07-15;420
486;When She Woke;Mariner Books;2020-07-15;259
487;Mister B. Gone;Penguin Books;2020-07-16;430
488;Shattered;Hackett Publishing Company  Inc.;2020-07-15;304
489;The House On Tradd Street;Alfred A. Knopf;2020-07-16;223
490;Dorothy Must Die;Penguin;2020-07-16;218
491;The Shelters of Stone;199;2020-07-15;12
492;Perfect;Prestwick House - (Literary Touchstone Classic);2020-07-16;75
493;Rebel Angels;Signet Books (NY);2020-07-16;390
494;Visions of Sugar Plums;Cambridge University Press;2020-07-16;214
495;The Bees;Simon  Schuster;2020-07-15;144
496;Light in August;Plume;2020-07-15;624
497;Blood Promise;Routledge;2020-07-16;256
498;Heart of Darkness;Bantam Classics;2020-07-15;577
499;Fear of Flying;University of Pennsylvania Press;2020-07-16;336
500;Sunset Express;Hackett Publishing Company  Inc.;2020-07-16;480
501;The Crystal Cave;Penguin Classics;2020-07-15;241
502;The Blade Itself;Focus Publishing/R. Pullins Company;2020-07-16;96
503;Red Storm Rising;Oxford University Press  USA;2020-07-16;254
504;Sweetheart;Loeb Classical Library/Harvard University Press;2020-07-16;624
505;My Blood Approves;Penguin Books;2020-07-15;224
506;The BFG;Harcourt;2020-07-15;400
507;River God;Harvard University Press;2020-07-16;608
508;Owen;Cliffs Notes;2020-07-15;80
509;The Hollow;Oxford University Press;2020-07-16;376
510;The Hit;Signet;2020-07-16;98
511;Strangers in Death ;Oxford University Press  USA;2020-07-15;408
